근무 지역,학력,기업 규모,회사명,공고 제목,접수 마감일,담당업무,근무 일시,채용인원,공고 사이트 주소,회사 홈페이지,회사 주소,대표자명,설립일(연차),사원 수,매출액,업종,사업 내용
경기도 용인,학력 무관,중소기업,참엔지니어링,장비구동 SW개발 인재 채용(C++/C#),2024.01.27(토),S/W 개발,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43653126?rPageCode=SL&logpath=21,http://www.charmeng.com/kr/,경기 용인시 처인구 남사면 북리 28-1,이경희,1973년 10월 04일(52년차),141명,"1,070억",반도체·디스플레이·광학,LCD검사장비제조/반도체장비제조
경기도 과천,초대졸 이상,중소기업,케이사인,C/C++/MFC/Visual C++ 개발 신입/경력자 모집,2024.01.26(금),C/C++ 보안 솔루션 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47377982&view_type=list,http://www.ksign.com,경기 과천시 과천대로7나길 25,최승락,2013년 12월 26일(12년차),95명,미공개,시스템 소프트웨어 개발 및 공급업,"소프트웨어 개발,공급"
서울 서초구,대졸 이상,중소기업,코난테크놀로지,2024년 상반기 각 부문 신입/경력 상시채용,2024.07.31(수),음성인식/합성 엔진/서비스 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47370206&view_type=list,https://www.konantech.com/,서울 서초구 강남대로 327,김영섬,1999년 04월 17일(26년차),266명,153억,응용 소프트웨어 개발 및 공급업,독자 개발 자연어처리(NLP)와 빅데이터 및 인공지능 원천기술을 기반으로 고객의 디지털 비즈니스 성장주도
서울 마포구,대졸 이상,중소기업,코어라인소프트,3D 의료 영상 소프트웨어 개발 담당자,2024.02.08(목),3D 의료 영상 소프트웨어 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47335028&view_type=list,https://www.corelinesoft.com/,서울 마포구 월드컵북로6길 49,김진국/최정필,2012년 09월 17일(13년차),95명,40억,응용 소프트웨어 개발 및 공급업,"의료진의 든든한 파트너, 의료 인공지능 솔루션을 개발"
서울 강남구,초대졸 이상,중소기업,퀄리티아,신입 및 경력직 C/C++ 개발자 모집,채용 시 마감,메일관련 솔루션/스팸차단 솔루션/아카이빙 제품 관련 연구개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47317119&view_type=search,https://www.qualitia.co.kr/,서울 강남구 언주로86길 7,김기영,2001년 12월 06일(24년차),16명,27억,응용 소프트웨어 개발 및 공급업,메시징 관련 기술 및 각 분야의 전문성을 갖춘 최고의 개발인력이 전문 컨설팅부터 사후관리까지 모든 고객에게 최적의 솔루션을 공급
서울 성동구,대졸 이상,중소기업,타디스테크놀로지,e-Mobility 충전시스템 임베디드 소프트웨어 개발자 모집,2024.01.17(수),임베디드 소프트웨어 개발,주 5일,1명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47196506&view_type=list,https://www.tardistechnology.com/,제주 제주시 첨단로 330,이용권,2016년 05월 18일(9년차),26명,17억,응용 소프트웨어 개발 및 공급업,최적의 비용으로 충전기 제조사 및 충전 사업자를 위한 데이터베이스 및 알고리즘을 개발하여 맞춤 컨설팅을 제공
경기도 부천,학력 무관,중소기업,태성시스템,태성시스템 자동화장비 초급/신입 개발자,2024.02.08(목),유진기업 계열사 자동화 장비 초급/신입 개발자 ,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47146438&view_type=list,http://www.gubunki.com,경기 부천시 옥산로 216,최종성,2017년 07월 11일(8년차),43명,227억,컨베이어장치 제조업,"컨베이어 장치,기계,장비 제조"
경기도 화성,학력 무관,중소기업,트윔,[면접비 지급]검사 운영자(공정엔지니어) 영입(H/W),2024.02.14(수),머신비전 검사운영,주 5일,0명,https://www.jobkorea.co.kr/Recruit/GI_Read/43775919?rPageCode=SL&logpath=21,http://www.twim21.com/kor/main/,경기 화성시 삼성1로4길 7-4,정한섭/정해주,2010년 01월 21일(15년차),150명,미공개,전기·전자·제어,"머신비전,자동화설비,AI,딥러닝"
서울 마포구,대졸 이상,코스닥 상장 기업,티제이미디어,SW 시스템 개발자 경력무관 모집 공고 - 정규직,2024.01.28(일),SW 시스템 개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47279530&view_type=list,https://www.tjmedia.com/,서울 마포구 월드컵북로 434,윤나라,1991년 04월 18일(34년차),215명,765억,비디오 및 기타 영상기기 제조업,"영상가요반주기(컴퓨터자동반주기),마이크 제조"
인천 연수구,대졸 이상,중소기업,파블로항공,[(주)파블로항공] 2023년 연구개발 인재 상시채용,상시 채용,관제시스템개발,주 5일,0명,https://www.saramin.co.kr/zf_user/jobs/relay/view?rec_idx=47058105&view_type=list,www.pabloair.com,인천 연수구 벤처로 82,김영준,2018년 08월 02일(7년차),123명,34억,시스템 소프트웨어 개발 및 공급업,"전자제품 및 부품 관련 소프트웨어 개발, 일반 서적 출판업 등"
